final_score,structured_score,breed_score,bert_similarity,PetID,Name,breed1_label,breed2_label,Age,age_group,gender_label,maturity_size_label,fur_length_label,Vaccinated,Dewormed,Sterilized,Health,Fee,PhotoAmt,Description
0.9654,1.0,1.0,0.8848,01c6d3224,Bobby,Golden Retriever,,8,young,male,small,short,1,1,2,1,600,5.0,"Golden retriever 8months old.Need a loving home Urgently. Comes with one bowl,leach and collar."
0.9415,0.9545,1.0,0.9111,b3a6f353d,Pacino,Labrador Retriever,Mixed Breed,12,young,male,medium,short,3,1,1,1,0,7.0,"PAcino was found at a park in Damansara Kim on Feb 13 with a chain around his neck. We named him after Al Pacino as he is tough and cool. Very active and smart, knows how to sit and give you his paws if there's a treat. Pure black and solidly built, his body is pure muscle! We are unable to find his owner and is looking for a home for him. No tying up or caging for long hours. Call if interested."
0.939,0.9545,1.0,0.9026,295dac1ce,"Mummy Moon, Luna And Ariel",Golden Retriever,Labrador Retriever,15,young,female,medium,short,3,1,3,1,0,3.0,"Three pups were rescued during Thaipusam and fostered by the person feeding her mother, Mummy Moon, so they were reunited. Their brother Titan was adopted straight away because he is a boy. Since then the fosterer has had to move, so Ariel, her sister Luna and Mummy Moon are all at 4paws Penang. They have fallen in love with Mummy and she is a reception dog and we will spay her when she is ready. They will keep her for the time being. One puppy died we just heard the news so for adoption now there is only one pup, it would be great if someone could take her, her best friend and sister has gone..."
0.9388,0.9545,1.0,0.9019,ab9dd85b2,2 Black Dude,Labrador Retriever,Mixed Breed,8,young,mixed,medium,short,1,1,2,1,0,7.0,"siblings brother and sister, big paws and shine flu, nice outlook, soon is going to send the female to spay, they are good guard dogs, if anyone would like to adopt them or visit them first before adopt we can make arrange, for more details plz contact with me, thanks!"
0.9379,0.9545,1.0,0.899,e246ecfdc,FLUFFY,Golden Retriever,,22,young,female,medium,short,1,1,2,1,0,2.0,"i am the owner for this dog and i am looking for someone to adopt this dog. I am often out as I am an ahtelete, goes for training and outstation always.. ...futher, we have to move to a new condo soon, we cant take our dog over. I would like to find a good owner to take care of my dog"
0.9375,0.9545,1.0,0.8977,902114441,Whiskey,Labrador Retriever,Mixed Breed,12,young,male,medium,short,3,3,3,1,0,2.0,Whiskey is our own pet. An offspring of my aunt's pet. His mom is a pure white Labrador. Father is a mixed breed. Whiskey is about 1 year plus (human years). Healthy. And always active.
0.9274,0.9545,1.0,0.8642,2d88536fc,Nil,Labrador Retriever,Mixed Breed,12,young,male,medium,short,2,1,1,1,30,1.0,"I'm a labrador retriever cross local. I have the yellowish brown color, lab ears (but you won't be able to see in my picture coz when I see people my ears goes to d back coz too excited and not many pics too coz I can't hold still). I have d fat barrel body.I'm a small boy, still very playful. I'm not very big, slightly smaller than an average size so this is my maximum height. I make a good guard dog, I'll bark at strangers and I loooveee to play .. retrieve ball!"
0.9105,0.9091,1.0,0.9137,9430d84c5,Snow,Labrador Retriever,Mixed Breed,12,young,female,small,long,1,1,1,1,0,4.0,"Snow used to have a home nearby my area but when her owners shifted, she was left behind. she was finding for food and hiding under cars and we picked her up after feeding her a few times. now, an uncle is fostering her and we are trying to find for her a good forever home. preferably in Selangor. she is spayed! more available dogs for adoption: Shortie - Hope - KJ Puppies - Moo -"
0.9047,0.9091,1.0,0.8945,1e62e6022,Baby / Bubbles,Labrador Retriever,Jack Russell Terrier,2,puppy,male,small,short,1,3,2,1,0,5.0,3 month-old male puppy for adoption. a cross between two pure breeds (Labrador & Jack Russel). Had all his shots/ vaccination.Has tan & black fur. Serious pet lovers only. Looking for a good home for him as we can't keep him. Ty ♥
0.8879,0.9091,1.0,0.8385,a64d70c84,Simba,Labrador Retriever,Beagle,2,puppy,female,small,short,1,1,2,1,0,0.0,Simba is very loving. She is also very playful and loves to cuddle at night.
0.8866,0.8636,1.0,0.9403,1667eb8a4,Diego,Labrador Retriever,Mixed Breed,1,puppy,male,medium,short,2,2,2,1,0,2.0,Diego is a cute and cuddly pet which has been raised meticulously with best dog food. It will be a reliable guard dog too. Your life will never be the same after adopting Diego.
0.885,0.8636,1.0,0.9347,4e9f82a98,Bailey,Labrador Retriever,,5,puppy,female,medium,short,1,1,2,1,0,2.0,"Bailey is a beautiful 5 month old playful Labrador that I helped foster this past month. I would love to keep her but I live in a gated community and the management has strict rules about bigger sized dogs as apposed to lap dogs. She is friendly and loves playing, running and giving lots of kisses.I really care about Bailey and want to find her a good home to live happily ever after. :) *Sorry I cant provide any further background information on Bailey as the previous owner was reluctant to share that information."
